Time (J2000),Coord_X (km),Coord_Y (km),Coord_Z (km)
2451441.6666666665,21000.0,0.0,0.0
2451442.7053872054,20443.517797009874,-4802.351515922647,0.0
2451443.744107744,18803.56380203072,-9350.18654086782,0.0
2451444.782828283,16167.05279706711,-13402.477526870898,0.0
2451445.8215488214,12673.715397073382,-16744.459920449815,0.0
2451446.8602693602,8508.692563536051,-19199.01431991021,0.0
2451447.898989899,3892.7234468882552,-20636.053502736824,0.0
2451448.937710438,-929.5534137100991,-20979.41682825198,0.0
2451449.9764309763,-5702.565518413247,-20210.90662239844,0.0
2451451.015151515,-10173.351316282147,-18371.25262441296,0.0
2451452.053872054,-14104.966738299274,-15557.953377808322,0.0
2451453.092592593,-17289.04283170194,-11920.108974336308,0.0
2451454.131313131,-19556.82896112219,-7650.51900119609,0.0
2451455.17003367,-20788.136305554915,-2975.464489678988,0.0
2451456.208754209,-20917.707664145408,1857.2845954455183,0.0
2451457.2474747472,-19938.675974399488,6591.600744805916,0.0
2451458.286195286,-17902.928256922376,10976.573227901265,0.0
2451459.324915825,-14918.355689597598,14779.805935957764,0.0
2451460.3636363638,-11143.135560197803,17799.73398318879,0.0
2451461.402356902,-6777.348135982407,19876.306302478926,0.0
2451462.441077441,-2052.372749811029,20899.468081297586,0.0
2451463.47979798,2781.3749124666438,20814.9934804189,0.0
2451464.5185185187,7467.7144187542035,19627.35951019787,0.0
2451465.557239057,11758.277719691461,17399.508758745113,0.0
2451466.595959596,15425.672233954185,14249.513539449736,0.0
2451467.6346801347,18275.532269680905,10344.31825921837,0.0
2451468.6734006735,20156.820075981756,5890.891647672331,0.0
2451469.712121212,20969.830589041376,1125.2577659284916,0.0
2451470.7508417508,20671.475630540237,-3700.0128692357875,0.0
2451471.7895622896,19277.567507508273,-8329.189094367657,0.0
2451472.8282828284,16861.980987897907,-12516.932417442207,0.0
2451473.867003367,13552.738062344748,-16041.299541942724,0.0
2451474.9057239057,9525.222995870748,-18715.504985164982,0.0
2451475.9444444445,4992.887259607456,-20397.82039305645,0.0
2451476.9831649833,195.9369636865414,-20999.085901091603,0.0
2451478.0218855217,-4611.397658640972,-20487.43545728803,0.0
2451479.0606060605,-9174.336022379463,-18889.98566749085,0.0
2451480.0993265994,-13251.05013046589,-16291.398663426733,0.0
2451481.138047138,-16625.481046853896,-12829.395150704126,0.0
2451482.1767676766,-19118.78965417954,-8687.455446282876,0.0
2451483.2154882154,-20598.834824005487,-4085.095332499625,0.0
2451484.2542087543,-20987.176671104593,733.7679075190433,0.0
2451485.292929293,-20263.23373736725,5513.742691919842,0.0
2451486.3316498315,-18465.37377079709,10001.49846136817,0.0
2451487.3703703703,-15688.880301970852,13959.19176913405,0.0
2451488.409090909,-12080.902777112315,17177.07157973075,0.0
2451489.447811448,-7832.657888549225,19484.595719741905,0.0
2451490.4865319864,-3169.2954126354807,20759.469322468092,0.0
2451491.525252525,1662.034346110402,20934.126248646393,0.0
2451492.563973064,6405.279102047711,19999.309977921243,0.0
2451493.602693603,10809.054925275032,18004.5641875515,0.0
2451494.6414141413,14639.969164120103,15055.607022941584,0.0
2451495.68013468,17694.98985975462,11308.728214115756,0.0
2451496.718855219,19812.20609553263,6962.505985003911,0.0
2451497.757575758,20879.40900092722,2247.2827445499593,0.0
2451498.796296296,20840.038631738462,-2587.04267035976,0.0
2451499.835016835,19696.181551695438,-7284.2592097768575,0.0
2451500.873737374,17508.46024653941,-11595.422361832841,0.0
2451501.912457912,14392.820236237003,-15292.047789675638,0.0
2451502.951178451,10514.38515875394,-18178.220614057693,0.0
2451503.98989899,6078.705496757122,-20100.97856900844,0.0
2451505.0286195287,1320.8647514730358,-20958.418744272603,0.0
2451506.067340067,-3506.979585401,-20705.098264429853,0.0
2451507.106060606,-8148.959950511777,-19354.442686024468,0.0
2451508.144781145,-12359.059255639997,-16978.034464120476,0.0
2451509.1835016836,-15914.149377134003,-13701.819205821414,0.0
2451510.222222222,-18625.816567204285,-9699.430764439176,0.0
2451511.260942761,-20350.34706316906,-5182.988940519754,0.0
2451512.2996632997,-20996.343673722244,-391.857492232542,0.0
2451513.3383838385,-20529.569673484704,4420.041738089947,0.0
2451514.377104377,-18974.763294198034,8997.686251120758,0.0
2451515.4158249157,-16414.32663741901,13098.46865038421,0.0
2451516.4545454546,-12983.958504403938,16505.05442306902,0.0
2451517.4932659934,-8865.462588997245,19036.900299912817,0.0
2451518.531986532,-4277.112190996941,20559.822743458375,0.0
2451519.5707070706,537.917899330485,20993.10944742785,0.0
2451520.6094276095,5324.439252704561,20313.796951415312,0.0
2451521.6481481483,9828.774354643945,18557.887666121715,0.0
2451522.6868686867,13812.201083381182,15818.441806073177,0.0
2451523.7255892255,17063.604577824495,12240.645356512505,0.0
2451524.7643097644,19410.665967253783,8014.115462267731,0.0
2451525.803030303,20728.994978517065,3362.851040002454,0.0
2451526.8417508416,20948.722410228504,-1466.6387838242067,0.0
2451527.8804713804,20058.203080964035,-6218.3992388036895,0.0
2451528.9191919193,18104.63300597919,-10640.595079553228,0.0
2451529.957912458,15191.548086313376,-14498.857426452494,0.0
2451530.9966329965,11473.336882417349,-17588.704918613246,0.0
2451532.0353535353,7147.058282548198,-19746.380879671055,0.0
2451533.074074074,2441.9977152600904,-20857.53214269928,0.0
2451534.112794613,-2392.4845887276906,-20863.269576503637,0.0
2451535.1515151514,-7100.169266634807,-19763.289106688553,0.0
2451536.19023569,-11431.557014964088,-17615.887833212237,0.0
2451537.228956229,-15157.09162892996,-14534.874381388665,0.0
2451538.267676768,-18079.32609303991,-10683.537239362515,0.0
2451539.3063973063,-20043.3869374017,-6265.99074395214,0.0
2451540.345117845,-20945.18226852023,-1516.3573670178816,0.0
2451541.383838384,-20736.918463939048,3313.6403780438404,0.0
2451542.422558923,-19429.633151774113,7968.020802626383,0.0
2451543.461279461,-17092.610237330213,12200.109638671414,0.0
2451544.5,-13849.707971457143,15785.613356089678,0.0
