Time (J2000),"Orientation Y-axis [i,j,k]"
2451441.5833333335,[-1.06057524e-16 -8.66025404e-01  5.00000000e-01]
2451441.586874048,[ 0.06342392 -0.86428181  0.49899334]
2451441.5904147634,[ 0.12659245 -0.85905807  0.49597741]
2451441.5939554786,[ 0.18925124 -0.8503752   0.49096435]
2451441.597496194,[ 0.25114799 -0.83826816  0.48397435]
2451441.601036909,[ 0.31203345 -0.82278572  0.47503556]
2451441.6045776242,[ 0.37166246 -0.80399021  0.46418397]
2451441.608118339,[ 0.42979491 -0.78195732  0.45146327]
2451441.611659054,[ 0.48619674 -0.75677576  0.43692469]
2451441.6151997694,[ 0.54064082 -0.72854693  0.42062677]
2451441.6187404846,[ 0.59290793 -0.6973845   0.40263513]
2451441.6222812,[ 0.64278761 -0.66341395  0.38302222]
2451441.625821915,[ 0.69007901 -0.62677206  0.36186702]
2451441.6293626297,[ 0.73459171 -0.58760639  0.33925471]
2451441.632903345,[ 0.77614646 -0.54607463  0.31527633]
2451441.63644406,[ 0.81457595 -0.50234402  0.29002845]
2451441.6399847753,[ 0.84972543 -0.45659065  0.26361273]
2451441.6435254905,[ 0.88145336 -0.40899875  0.23613554]
2451441.6470662053,[ 0.909632   -0.35975995  0.20770751]
2451441.6506069205,[ 0.93414786 -0.30907253  0.17844311]
2451441.6541476357,[ 0.95490224 -0.25714059  0.14846019]
2451441.657688351,[ 0.97181157 -0.20417323  0.11787947]
2451441.661229066,[ 0.98480775 -0.15038373  0.08682409]
2451441.6647697813,[ 0.99383846 -0.0959887   0.0554191 ]
2451441.668310496,[ 0.99886734 -0.04120715  0.02379096]
2451441.671851211,[ 0.99987413  0.01374033 -0.00793298]
2451441.6753919264,[ 0.99685478  0.06863248 -0.03962498]
2451441.6789326416,[ 0.98982144  0.12324827 -0.07115742]
2451441.682473357,[ 0.97880245  0.17736778 -0.10240333]
2451441.6860140716,[ 0.96384216  0.23077309 -0.13323691]
2451441.689554787,[ 0.94500082  0.28324916 -0.16353398]
2451441.693095502,[ 0.92235429  0.33458469 -0.19317256]
2451441.696636217,[ 0.89599377  0.38457297 -0.22203331]
2451441.7001769324,[ 0.8660254  0.4330127 -0.25     ]
2451441.7037176476,[ 0.83256985  0.47970885 -0.27696003]
2451441.7072583623,[ 0.79576184  0.52447337 -0.30280484]
2451441.7107990775,[ 0.75574957  0.56712603 -0.32743037]
2451441.7143397927,[ 0.71269417  0.60749507 -0.35073744]
2451441.717880508,[ 0.666769    0.64541795 -0.37263222]
2451441.721421223,[ 0.61815899  0.68074195 -0.39302655]
2451441.7249619383,[ 0.56705986  0.71332484 -0.41183829]
2451441.728502653,[ 0.51367739  0.74303543 -0.42899171]
2451441.7320433683,[ 0.45822652  0.76975408 -0.44441772]
2451441.7355840835,[ 0.40093054  0.7933732  -0.45805423]
2451441.7391247987,[ 0.34202014  0.81379768 -0.46984631]
2451441.742665514,[ 0.28173256  0.83094529 -0.47974649]
2451441.7462062286,[ 0.22031053  0.84474698 -0.48771489]
2451441.749746944,[ 0.1580014   0.85514716 -0.49371944]
2451441.753287659,[ 0.09505604  0.86210397 -0.49773596]
2451441.756828374,[ 0.03172793  0.8655894  -0.49974827]
2451441.7603690894,[-0.03172793  0.8655894  -0.49974827]
2451441.7639098046,[-0.09505604  0.86210397 -0.49773596]
2451441.7674505194,[-0.1580014   0.85514716 -0.49371944]
2451441.7709912346,[-0.22031053  0.84474698 -0.48771489]
2451441.77453195,[-0.28173256  0.83094529 -0.47974649]
2451441.778072665,[-0.34202014  0.81379768 -0.46984631]
2451441.78161338,[-0.40093054  0.7933732  -0.45805423]
2451441.7851540954,[-0.45822652  0.76975408 -0.44441772]
2451441.78869481,[-0.51367739  0.74303543 -0.42899171]
2451441.7922355253,[-0.56705986  0.71332484 -0.41183829]
2451441.7957762405,[-0.61815899  0.68074195 -0.39302655]
2451441.7993169557,[-0.666769    0.64541795 -0.37263222]
2451441.802857671,[-0.71269417  0.60749507 -0.35073744]
2451441.8063983857,[-0.75574957  0.56712603 -0.32743037]
2451441.809939101,[-0.79576184  0.52447337 -0.30280484]
2451441.813479816,[-0.83256985  0.47970885 -0.27696003]
2451441.8170205313,[-0.8660254  0.4330127 -0.25     ]
2451441.8205612465,[-0.89599377  0.38457297 -0.22203331]
2451441.8241019617,[-0.92235429  0.33458469 -0.19317256]
2451441.8276426764,[-0.94500082  0.28324917 -0.16353398]
2451441.8311833916,[-0.96384216  0.23077309 -0.13323691]
2451441.834724107,[-0.97880245  0.17736778 -0.10240333]
2451441.838264822,[-0.98982144  0.12324827 -0.07115742]
2451441.841805537,[-0.99685478  0.06863248 -0.03962498]
2451441.845346252,[-0.99987413  0.01374033 -0.00793298]
2451441.848886967,[-0.99886734 -0.04120715  0.02379096]
2451441.8524276824,[-0.99383846 -0.0959887   0.0554191 ]
2451441.8559683976,[-0.98480775 -0.15038373  0.08682409]
2451441.859509113,[-0.97181157 -0.20417323  0.11787947]
2451441.863049828,[-0.95490224 -0.25714059  0.14846019]
2451441.8665905427,[-0.93414786 -0.30907253  0.17844311]
2451441.870131258,[-0.909632   -0.35975995  0.20770751]
2451441.873671973,[-0.88145336 -0.40899875  0.23613554]
2451441.8772126883,[-0.84972543 -0.45659065  0.26361273]
2451441.8807534035,[-0.81457595 -0.50234402  0.29002845]
2451441.8842941187,[-0.77614646 -0.54607463  0.31527633]
2451441.8878348335,[-0.73459171 -0.58760639  0.33925471]
2451441.8913755487,[-0.69007901 -0.62677206  0.36186702]
2451441.894916264,[-0.64278761 -0.66341395  0.38302222]
2451441.898456979,[-0.59290793 -0.6973845   0.40263513]
2451441.9019976943,[-0.54064082 -0.72854693  0.42062677]
2451441.905538409,[-0.48619674 -0.75677576  0.43692469]
2451441.909079124,[-0.42979491 -0.78195732  0.45146327]
2451441.9126198394,[-0.37166246 -0.80399021  0.46418397]
2451441.9161605546,[-0.31203345 -0.82278572  0.47503556]
2451441.91970127,[-0.25114799 -0.83826816  0.48397435]
2451441.923241985,[-0.18925124 -0.8503752   0.49096435]
2451441.9267827,[-0.12659245 -0.85905807  0.49597741]
2451441.930323415,[-0.06342392 -0.86428181  0.49899334]
2451441.93386413,[-3.50986884e-16 -8.66025404e-01  5.00000000e-01]
