Time (J2000),Orientation Z-axis
2451441.5833333335,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.586874048,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.5904147634,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.5939554786,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.597496194,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.601036909,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6045776242,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.608118339,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.611659054,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6151997694,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6187404846,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6222812,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.625821915,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6293626297,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.632903345,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.63644406,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6399847753,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6435254905,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6470662053,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6506069205,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6541476357,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.657688351,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.661229066,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6647697813,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.668310496,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.671851211,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6753919264,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6789326416,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.682473357,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.6860140716,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.689554787,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.693095502,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.696636217,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7001769324,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7037176476,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7072583623,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7107990775,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7143397927,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.717880508,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.721421223,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7249619383,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.728502653,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7320433683,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7355840835,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7391247987,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.742665514,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7462062286,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.749746944,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.753287659,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.756828374,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7603690894,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7639098046,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7674505194,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
2451441.7709912346,[6.12323400e-17 5.00000000e-01 8.66025404e-01]
