Time (J2000),Coord_X (km),Coord_Y (km),Coord_Z (km)
2451441.8333333335,21000.0,0.0,0.0
2451441.836874048,20957.720205909693,1153.4612382335233,665.9511563939243
2451441.8404147634,20831.051069420042,2302.277895163874,1329.2207625221868
2451441.8439554786,20620.502642553747,3441.824091603338,1987.1380657905256
2451442.1661605546,19951.493472528808,-5674.806707283197,-3276.351180049047
2451442.16970127,20326.922729205984,-4567.511277521065,-2637.0538656034387
2451442.173241985,20620.502642338437,-3441.8240919324808,-1987.138065980555
2451442.1767827,20831.051069599496,-2302.277895556562,-1329.220762748902
2451442.180323415,20957.720205878195,-1153.4612385955456,-665.9511566029354
2451442.18386413,20999.99999999511,-3.626460056693759e-07,-2.0937113731633872e-07
